Time - Voltage	Amplitude - Voltage
835	0,0835856
836	0,0837718
837	0,0837097
838	0,0833781
839	0,0834679
840	0,0838519
841	0,0839761
842	0,0841868
843	0,084476
844	0,0850626
845	0,0851933
846	0,0852832
847	0,0851361
848	0,0847799
849	0,0842505
850	0,0842751
851	0,083945
852	0,0835725
853	0,0829549
854	0,0826575
855	0,082084
856	0,0812279
857	0,0808112
858	0,0804469
859	0,0799714
860	0,0793947
861	0,0788767
862	0,0787035
863	0,0783392
864	0,0776007
865	0,0768605
866	0,0761383
867	0,0753083
868	0,0747348
869	0,0742577
870	0,0739816
871	0,0740012
872	0,0737284
873	0,0734539
874	0,0732676
875	0,0729016
876	0,0726631
877	0,0727333
878	0,0725552
879	0,0719246
880	0,0712514
881	0,070722
882	0,0707073
883	0,0704916
884	0,0705946
885	0,070526
886	0,0701665
887	0,0698708
888	0,0694917
889	0,0687483
890	0,0678023
891	0,0674445
892	0,067
893	0,0668367
894	0,0669347
895	0,0669167
896	0,0672729
897	0,0669543
898	0,0666929
899	0,0666439
900	0,065889
901	0,0649642
902	0,0642845
903	0,0638532
904	0,0636375
905	0,0632536
906	0,0625396
907	0,0617847
908	0,0610887
909	0,0608044
910	0,0601083
911	0,0596116
912	0,0592162
913	0,058646
914	0,0580823
915	0,0578127
916	0,0571968
917	0,0570023
918	0,0568095
919	0,0563896
920	0,056174
921	0,0553652
922	0,0549371
923	0,0548881
924	0,0542656
925	0,0537035
926	0,0531791
927	0,0519161
928	0,0515158
929	0,0510779
930	0,0508982
931	0,0503263
932	0,0498378
933	0,049181
934	0,0482905
935	0,0473673
936	0,046423
937	0,0458348
938	0,0453544
939	0,0446175
940	0,044178
941	0,0442319
942	0,0436519
943	0,0431454
944	0,0429281
945	0,0424265
946	0,0421079
947	0,0416798
948	0,0419282
949	0,0419135
950	0,0419314
951	0,0420082
952	0,0418988
953	0,0416357
954	0,0408678
955	0,040327
956	0,0395688
957	0,0388401
958	0,0381784
959	0,0377993
960	0,0377242
961	0,0379301
962	0,0379562
963	0,0380804
964	0,0379431
965	0,0378418
966	0,0375183
967	0,0374252
968	0,037154
969	0,0369612
970	0,0364971
971	0,0361164
972	0,0358632
973	0,0354662
974	0,0343943
975	0,0334516
976	0,033048
977	0,0335088
978	0,0336166
979	0,0331918
980	0,0332882
981	0,0333503
982	0,0333862
983	0,0337522
984	0,0341297
985	0,0339891
986	0,0339499
987	0,0337637
988	0,0337963
989	0,0340447
990	0,0338584
991	0,0337767
992	0,0340185
993	0,0341493
994	0,034427
995	0,0346656
996	0,0346639
997	0,0345528
998	0,0345414
999	0,0344875
1000	0,033383
1001	0,0321657
1002	0,0319713
1003	0,0311903
1004	0,0306266
1005	0,0301201
1006	0,0296969
1007	0,0295515
1008	0,0291888
1009	0,0296218
1010	0,0307116
1011	0,0311037
1012	0,0311004
1013	0,0311936
1014	0,0310923
1015	0,0307835
1016	0,0311625
1017	0,0314828
1018	0,0318863
1019	0,0320219
1020	0,0321657
1021	0,0326657
1022	0,0326314
1023	0,0328503
1024	0,0327752
1025	0,0323863
1026	0,0316249
1027	0,0310563
1028	0,0304322
1029	0,0298995
1030	0,0290156
1031	0,0286578
1032	0,0282019
1033	0,0274013
1034	0,0271154
1035	0,0266269
1036	0,0260305
1037	0,0256515
1038	0,0253328
1039	0,0251172
1040	0,0246826
1041	0,0246401
1042	0,0247822
1043	0,0247724
1044	0,0246826
1045	0,0245355
1046	0,0245273
1047	0,0245453
1048	0,0244505
1049	0,024645
1050	0,0245257
1051	0,0250044
1052	0,0253198
1053	0,0256367
1054	0,0256057
1055	0,0259995
1056	0,0266465
1057	0,0270746
1058	0,0271824
1059	0,0275418
1060	0,0280957
1061	0,0289372
1062	0,0290646
1063	0,0295352
1064	0,029991
1065	0,0308782
1066	0,031406
1067	0,0323504
1068	0,0331542
1069	0,0336901
1070	0,0338797
1071	0,0337343
1072	0,0342832
1073	0,0346313
1074	0,0348142
1075	0,0351018
1076	0,0352881
1077	0,0350446
1078	0,0351051
1079	0,0351476
1080	0,0355756
1081	0,0360151
1082	0,0357717
1083	0,0358828
1084	0,035507
1085	0,0347162
1086	0,0346182
1087	0,0347571
1088	0,0347897
1089	0,0348845
1090	0,0351966
1091	0,0355152
1092	0,0359808
1093	0,0361115
1094	0,0361834
1095	0,0362962
1096	0,0366131
1097	0,0372242
1098	0,0376376
1099	0,037435
1100	0,0368778
1101	0,0368811
1102	0,036984
1103	0,0369285
1104	0,0366801
1105	0,0367912
1106	0,0364922
1107	0,0364694
1108	0,0366475
1109	0,0363076
1110	0,036087
1111	0,0359482
1112	0,0356312
1113	0,035525
1114	0,0352178
1115	0,0348453
1116	0,0345561
1117	0,0343175
1118	0,0339271
1119	0,0338633
1120	0,0338764
1121	0,0341444
1122	0,0342685
1123	0,0340594
1124	0,0342636
1125	0,0340921
1126	0,0344924
1127	0,0354286
1128	0,0356475
1129	0,0356312
1130	0,0348273
1131	0,0345218
1132	0,0343094
1133	0,0344858
1134	0,0345218
1135	0,0344499
1136	0,0342881
1137	0,0342048
1138	0,0338388
1139	0,0335382
1140	0,0336771
1141	0,0335578
1142	0,0333879
1143	0,0329761
1144	0,0327212
1145	0,032566
1146	0,0325219
1147	0,0319893
1148	0,0312099
1149	0,0307279
1150	0,029991
1151	0,029027
1152	0,0286823
1153	0,0284715
1154	0,0284029
1155	0,0282264
1156	0,0283539
1157	0,0282575
1158	0,0279291
1159	0,0277346
1160	0,0270174
1161	0,026006
1162	0,0251498
1163	0,0240944
1164	0,0230634
1165	0,0223363
1166	0,0219801
1167	0,0214736
1168	0,0213282
1169	0,0206371
1170	0,0198741
1171	0,0191715
1172	0,0181666
1173	0,0174053
1174	0,0174935
1175	0,0170295
1176	0,0163498
1177	0,0151766
1178	0,0142796
1179	0,0138565
1180	0,012868
1181	0,0122226
1182	0,0113468
1183	0,0104466
1184	0,00979301
1185	0,00951362
1186	0,00913129
1187	0,00860355
1188	0,00769838
1189	0,00733076
1190	0,00678994
1191	0,00601058
1192	0,00523449
1193	0,0045842
1194	0,00385549
1195	0,00321828
1196	0,00317907
1197	0,00327547
1198	0,0033637
1199	0,0037591
1200	0,00468714
1201	0,00549754
1202	0,00623769
1203	0,00728174
1204	0,00812646
1205	0,00851532
1206	0,00916724
1207	0,00941232
1208	0,00967211
1209	0,00980282
1210	0,00980772
1211	0,0100136
1212	0,0102407
1213	0,0106704
1214	0,0108992
1215	0,0111475
1216	0,0110201
1217	0,0110576
1218	0,0110446
1219	0,0114498
1220	0,0114302
1221	0,0109972
1222	0,0111736
1223	0,0109237
1224	0,0112357
1225	0,0114743
1226	0,0120053
1227	0,0124007
1228	0,0129121
1229	0,0128631
1230	0,0133467
1231	0,0135575
1232	0,0136261
1233	0,0137748
1234	0,0137911
1235	0,0140101
1236	0,0145313
1237	0,0148776
1238	0,0153351
1239	0,0151178
1240	0,0148417
1241	0,0142584
1242	0,0136212
1243	0,0128925
1244	0,0126017
1245	0,0127912
1246	0,012417
1247	0,0122994
1248	0,0124203
1249	0,0120363
1250	0,0116132
1251	0,0109694
1252	0,0105756
1253	0,0104123
1254	0,0106443
1255	0,0101835
1256	0,00949238
1257	0,00909535
1258	0,00873426
1259	0,00850878
1260	0,00792222
1261	0,00731932
1262	0,00756113
1263	0,00730952
1264	0,00693209
1265	0,00652035
1266	0,00648604
1267	0,00585046
1268	0,00518711
1269	0,00488157
1270	0,00448127
1271	0,00435219
1272	0,00391758
1273	0,00349277
1274	0,00324442
1275	0,00313822
1276	0,00325096
1277	0,00299444
1278	0,0030647
1279	0,00341598
1280	0,00343069
1281	0,00364146
1282	0,00404993
1283	0,0045646
1284	0,00494039
1285	0,00535703
1286	0,00534886
1287	0,00477537
1288	0,00427704
1289	0,00394699
1290	0,00351401
1291	0,00268237
1292	0,00204842
1293	0,00170858
1294	0,000875298
1295	4,20E-05
1296	-0,0010102
1297	-0,00193334
1298	-0,00240063
1299	-0,00298229
1300	-0,00322084
1301	-0,00357049
1302	-0,00446422
1303	-0,00521417
1304	-0,00611607
1305	-0,00755879
1306	-0,00830711
1307	-0,00895902
1308	-0,00969264
1309	-0,010338
1310	-0,0108723
1311	-0,0118935
1312	-0,0123706
1313	-0,0126843
1314	-0,0126336
1315	-0,0127022
1316	-0,0125862
1317	-0,0124539
1318	-0,0120667
1319	-0,0117628
1320	-0,0116124
1321	-0,0112514
1322	-0,0109344
1323	-0,010503
1324	-0,0101191
1325	-0,00969264
1326	-0,00965669
1327	-0,00992465
1328	-0,0100684
1329	-0,0100733
1330	-0,00964525
