Time - Voltage	Amplitude - Voltage
748	-3,21791
749	-3,21551
750	-3,21518
751	-3,21198
752	-3,21163
753	-3,20495
754	-3,20464
755	-3,19756
756	-3,19732
757	-3,19076
758	-3,19053
759	-3,18623
760	-3,18603
761	-3,18413
762	-3,18395
763	-3,17902
764	-3,17887
765	-3,17505
766	-3,17489
767	-3,16902
768	-3,16887
769	-3,16626
770	-3,16614
771	-3,16102
772	-3,1609
773	-3,15346
774	-3,15335
775	-3,1471
776	-3,14696
777	-3,13925
778	-3,13905
779	-3,1317
780	-3,13145
781	-3,13083
782	-3,13057
783	-3,12619
784	-3,12589
785	-3,12126
786	-3,12094
787	-3,11721
788	-3,11688
789	-3,11177
790	-3,11141
791	-3,10509
792	-3,10476
793	-3,10083
794	-3,10051
795	-3,09478
796	-3,09446
797	-3,08697
798	-3,08667
799	-3,08394
800	-3,08363
801	-3,07924
802	-3,07897
803	-3,07773
804	-3,07749
805	-3,07202
806	-3,07179
807	-3,06751
808	-3,06728
809	-3,06112
810	-3,06091
811	-3,05615
812	-3,05598
813	-3,05156
814	-3,05139
815	-3,04668
816	-3,0465
817	-3,04392
818	-3,04373
819	-3,04039
820	-3,04021
821	-3,03774
822	-3,03754
823	-3,03357
824	-3,03339
825	-3,02849
826	-3,02833
827	-3,02579
828	-3,02562
829	-3,02195
830	-3,02178
831	-3,0162
832	-3,01604
833	-3,01161
834	-3,01144
835	-3,00753
836	-3,00734
837	-3,006
838	-3,00584
839	-3,00304
840	-3,00289
841	-3,00046
842	-3,00031
843	-2,99669
844	-2,99657
845	-2,99343
846	-2,99332
847	-2,98843
848	-2,98836
849	-2,98474
850	-2,98471
851	-2,97929
852	-2,9793
853	-2,97508
854	-2,97515
855	-2,97062
856	-2,97072
857	-2,96848
858	-2,96857
859	-2,96814
860	-2,96826
861	-2,96758
862	-2,96773
863	-2,96842
864	-2,96855
865	-2,96898
866	-2,96911
867	-2,96681
868	-2,96695
869	-2,96624
870	-2,96636
871	-2,9644
872	-2,96451
873	-2,96114
874	-2,96123
875	-2,9584
876	-2,95846
877	-2,95588
878	-2,95591
879	-2,95461
880	-2,95462
881	-2,9542
882	-2,9542
883	-2,94953
884	-2,94951
885	-2,94506
886	-2,94501
887	-2,93805
888	-2,93801
889	-2,93381
890	-2,93379
891	-2,92932
892	-2,92929
893	-2,92661
894	-2,92657
895	-2,92165
896	-2,92161
897	-2,91482
898	-2,91477
899	-2,91074
900	-2,91063
901	-2,90739
902	-2,90725
903	-2,9053
904	-2,90516
905	-2,90138
906	-2,90126
907	-2,89722
908	-2,8971
909	-2,89377
910	-2,89364
911	-2,88953
912	-2,88943
913	-2,88417
914	-2,88409
915	-2,87949
916	-2,87943
917	-2,87632
918	-2,87629
919	-2,8733
920	-2,87326
921	-2,87084
922	-2,8708
923	-2,86998
924	-2,86994
925	-2,87012
926	-2,87009
927	-2,86847
928	-2,86847
929	-2,86416
930	-2,86419
931	-2,86169
932	-2,86177
933	-2,85765
934	-2,85776
935	-2,85602
936	-2,85611
937	-2,85118
938	-2,85127
939	-2,8489
940	-2,84899
941	-2,84406
942	-2,84417
943	-2,84235
944	-2,84246
945	-2,83843
946	-2,83851
947	-2,83326
948	-2,83334
949	-2,8287
950	-2,82884
951	-2,82574
952	-2,82592
953	-2,82258
954	-2,82275
955	-2,81823
956	-2,81837
957	-2,8139
958	-2,81405
959	-2,80831
960	-2,80844
961	-2,80024
962	-2,80036
963	-2,79825
964	-2,79836
965	-2,7935
966	-2,79362
967	-2,78896
968	-2,78908
969	-2,78196
970	-2,78208
971	-2,77843
972	-2,77853
973	-2,7769
974	-2,77698
975	-2,77749
976	-2,77759
977	-2,77739
978	-2,77756
979	-2,77343
980	-2,77365
981	-2,76726
982	-2,76752
983	-2,76219
984	-2,76247
985	-2,75771
986	-2,75799
987	-2,75542
988	-2,75569
989	-2,75125
990	-2,75154
991	-2,7486
992	-2,74884
993	-2,74509
994	-2,74533
995	-2,74283
996	-2,74308
997	-2,74052
998	-2,74078
999	-2,73335
1000	-2,73364
1001	-2,72854
1002	-2,72881
1003	-2,72189
1004	-2,72213
1005	-2,71874
1006	-2,71895
1007	-2,71724
1008	-2,7174
1009	-2,71426
1010	-2,71439
1011	-2,70996
1012	-2,71005
1013	-2,70615
1014	-2,70624
1015	-2,70333
1016	-2,70342
1017	-2,69877
1018	-2,69887
1019	-2,69196
1020	-2,69206
1021	-2,68798
1022	-2,68811
1023	-2,68335
1024	-2,68348
1025	-2,68006
1026	-2,68018
1027	-2,67405
1028	-2,67421
1029	-2,66814
1030	-2,66829
1031	-2,66367
1032	-2,66383
1033	-2,65814
1034	-2,65833
1035	-2,65102
1036	-2,65122
1037	-2,64543
1038	-2,64562
1039	-2,63878
1040	-2,63894
1041	-2,63448
1042	-2,63464
1043	-2,62981
1044	-2,62993
1045	-2,62819
1046	-2,62831
1047	-2,62386
1048	-2,62394
1049	-2,62005
1050	-2,62007
1051	-2,61575
1052	-2,61574
1053	-2,61352
1054	-2,61346
1055	-2,60481
1056	-2,60474
1057	-2,59975
1058	-2,59968
1059	-2,59002
1060	-2,58992
1061	-2,58315
1062	-2,58305
1063	-2,57733
1064	-2,57724
1065	-2,57088
1066	-2,57077
1067	-2,5641
1068	-2,564
1069	-2,55701
1070	-2,55693
1071	-2,5528
1072	-2,5527
1073	-2,55123
1074	-2,55115
1075	-2,54899
1076	-2,54891
1077	-2,54535
1078	-2,54527
1079	-2,5401
1080	-2,54002
1081	-2,53446
1082	-2,53438
1083	-2,53119
1084	-2,53111
1085	-2,52771
1086	-2,52765
1087	-2,52291
1088	-2,52284
1089	-2,51921
1090	-2,51909
1091	-2,51695
1092	-2,51684
1093	-2,51065
1094	-2,51057
1095	-2,50767
1096	-2,50758
1097	-2,50416
1098	-2,50409
1099	-2,49993
1100	-2,49988
1101	-2,49583
1102	-2,4958
1103	-2,48994
1104	-2,48991
1105	-2,4841
1106	-2,48408
1107	-2,48029
1108	-2,48026
1109	-2,47597
1110	-2,47594
1111	-2,47155
1112	-2,47149
1113	-2,46823
